year,state,ipse,n_mn,n_min,n_max,pop,r_mn,r_min,r_max,race_ethn
2010,AK,0,185,168,202,11040,16.757246376811597,15.217391304347826,18.297101449275363,Total
2010,AK,1,41.7,39,47,11040,3.7771739130434785,3.532608695652174,4.257246376811594,Total
2010,AL,0,332.7,322,349,59271,5.613200384673786,5.43267365153279,5.888208398711005,Total
2010,AL,1,217,213,222,59271,3.6611496347286194,3.593663005517032,3.745507921243104,Total
2010,HI,0,78.2,69,90,18028,4.337696915908587,3.8273796316840474,4.992234302196583,Total
2010,HI,1,102.2,89,118,18028,5.668959396494342,4.936765032172176,6.5453738628799645,Total
2010,IN,0,2236.2,2218,2262,84012,26.617626053420935,26.400990334714088,26.924725039280105,Total
2010,IN,1,151.8,141,164,84012,1.8068847307527496,1.678331666904728,1.9521020806551446,Total
2010,ME,0,221.10000000000002,201,243,13290,16.63656884875847,15.124153498871333,18.284424379232508,Total
2010,ME,1,130,111,146,13290,9.781790820165538,8.352144469525959,10.985703536493604,Total
2010,MN,0,584,576,593,69265,8.431386703241174,8.31588825525157,8.561322457229481,Total
2010,MN,1,163,162,165,69265,2.3532808777882046,2.338843571789504,2.3821554897856063,Total
2010,MS,0,402.3,397,409,39619,10.154218935359298,10.020444736111461,10.323329715540524,Total
2010,MS,1,70,70,70,39619,1.7668290466695273,1.7668290466695273,1.7668290466695273,Total
2010,NJ,0,833.8000000000001,796,865,105603,7.895609026258724,7.537664649678513,8.191055178356676,Total
2010,NJ,1,592.9,558,623,105603,5.614423832656269,5.283940797136445,5.899453614007178,Total
2010,NM,0,115.5,113,121,27893,4.140823862617861,4.051195640483275,4.338005951313949,Total
2010,NM,1,308.4,304,314,27893,11.056537482522495,10.898791811565625,11.257304700103969,Total
2010,TX,0,5274,5230,5307,379326,13.90360797836162,13.787612765800393,13.990604387782541,Total
2010,TX,1,3191.2,3172,3224,379326,8.412816416486084,8.362200323732093,8.499285574940815,Total
2010,UT,0,353.1,348,363,53066,6.653978065051069,6.557871330041835,6.840538197716052,Total
2010,UT,1,13,13,13,53066,0.2449779519843214,0.2449779519843214,0.2449779519843214,Total
2011,AK,0,133.1,121,145,11717,11.35956302807886,10.32687548007169,12.375181360416489,Total
2011,AK,1,38,37,40,11717,3.243150977212597,3.1578048988648972,3.4138431339079967,Total
2011,AL,0,315,305,326,59166,5.32400365074536,5.15498766183281,5.5099212385491665,Total
2011,AL,1,285,280,294,59166,4.816955684007707,4.732447689551432,4.969070074029004,Total
2011,HI,0,68.10000000000001,64,73,19126,3.5605981386594165,3.3462302624699363,3.8167938931297707,Total
2011,HI,1,90,86,96,19126,4.705636306598348,4.496496915193977,5.019345393704905,Total
2011,IN,0,2258.9,2237,2282,83011,27.212056233511223,26.948235775981495,27.490332606522028,Total
2011,IN,1,173.79999999999998,163,187,83011,2.093698425509872,1.9635951861801448,2.252713495801761,Total
2011,ME,0,264.6,236,297,12603,20.995001190192813,18.725700230103943,23.565817662461317,Total
2011,ME,1,166.9,143,186,12603,13.242878679679443,11.346504800444338,14.75839085931921,Total
2011,MN,0,611.1,600,624,68499,8.921298121140454,8.759251959882626,9.10962203827793,Total
2011,MN,1,171.1,170,174,68499,2.4978466838931954,2.4817880553000773,2.5401830683659616,Total
2011,MS,0,418,414,424,39207,10.661361491570382,10.559338893564925,10.81439538857857,Total
2011,MS,1,61,61,61,39207,1.5558446195832376,1.5558446195832376,1.5558446195832376,Total
2011,NJ,0,722.3,697,749,106796,6.763361923667553,6.526461665230908,7.013371287314132,Total
2011,NJ,1,559.1,537,589,106796,5.2352148020525116,5.028278212667141,5.515187834750366,Total
2011,NM,0,136.6,132,143,27709,4.9298062001515754,4.763795156808257,5.160778086542279,Total
2011,NM,1,294.5,288,302,27709,10.62831570969721,10.393734887581653,10.898985889061315,Total
2011,TX,0,5478,5436,5525,380164,14.409570606369883,14.29909197083364,14.533201460422344,Total
2011,TX,1,3084.2000000000003,3051,3133,380164,8.112814469544723,8.025483738597027,8.241180122263023,Total
2011,UT,0,339.2,336,344,51692,6.561943821094173,6.500038690706493,6.654801516675694,Total
2011,UT,1,23.1,23,24,51692,0.4468776599860714,0.44494312466145636,0.4642884779076066,Total
2012,AK,0,188,169,201,11103,16.932360623254976,15.221111411330272,18.10321534720346,Total
2012,AK,1,37.4,35,41,11103,3.3684589750517877,3.1523011798612988,3.692695667837522,Total
2012,AL,0,346.1,333,362,58517,5.914520566672933,5.6906539979834925,6.186236478288361,Total
2012,AL,1,322,316,329,58517,5.502674436488541,5.400140130218569,5.62229779380351,Total
2012,HI,0,70.60000000000001,63,79,18866,3.7421817025336592,3.3393406127425,4.187427117565991,Total
2012,HI,1,119.19999999999999,112,128,18866,6.318244460935015,5.936605533764444,6.784692038587936,Total
2012,IN,0,1913.4999999999998,1897,1931,82684,23.142324996371727,22.94277006434135,23.35397416670698,Total
2012,IN,1,684.1,679,693,82684,8.273668424362633,8.211987809007788,8.38130714527599,Total
2012,ME,0,335.29999999999995,309,358,12743,26.31248528603939,24.24860707839598,28.09385545005101,Total
2012,ME,1,217.39999999999998,195,246,12743,17.06034685709801,15.302519030055716,19.304716314839517,Total
2012,MN,0,681.4,668,697,68103,10.005432947153576,9.808672158348385,10.234497746061113,Total
2012,MN,1,212,210,215,68103,3.1129318825896073,3.0835646006783843,3.1569828054564413,Total
2012,MS,0,442.1,440,444,38938,11.35394730083723,11.300015409111921,11.402742821922029,Total
2012,MS,1,42,41,43,38938,1.078637834506138,1.052955981303611,1.104319687708665,Total
2012,NJ,0,763.0999999999999,721,797,104536,7.299877554144026,6.897145480982628,7.624167750822683,Total
2012,NJ,1,603,581,630,104536,5.768347746230964,5.557893931277263,6.0266319736741405,Total
2012,NM,0,110.3,104,119,26890,4.10189661584232,3.867608776496839,4.425436965414653,Total
2012,NM,1,319.3,310,332,26890,11.874302714763854,11.52844923763481,12.346597248047601,Total
2012,TX,0,5227.4000000000005,5189,5279,376883,13.870087003128292,13.768198618669455,14.006999519744854,Total
2012,TX,1,2991.7,2964,3023,376883,7.938007286080826,7.864509675416508,8.02105693278816,Total
2012,UT,0,275.40000000000003,271,281,50301,5.475040257648954,5.387566847577583,5.586370052285243,Total
2012,UT,1,127,126,129,50301,2.5248006997872805,2.504920379316515,2.5645613407288126,Total
2013,AK,0,170.2,159,185,11318,15.037992578194025,14.048418448489134,16.34564410673264,Total
2013,AK,1,45.3,42,50,11318,4.002473935324262,3.710902986393356,4.417741650468281,Total
2013,AL,0,310,298,325,57396,5.401073245522336,5.191999442469859,5.662415499337933,Total
2013,AL,1,340.4,331,351,57396,5.930726879921945,5.766952400864171,6.115408739284968,Total
2013,HI,0,71.9,69,77,18979,3.7883977027240636,3.635597239053691,4.057115759523684,Total
2013,HI,1,145.2,142,151,18979,7.650561146530375,7.481953738342378,7.95616207387112,Total
2013,IN,0,2305.8,2295,2316,82847,27.832027713737375,27.701666928192935,27.95514623341823,Total
2013,IN,1,749,743,756,82847,9.04076188636885,8.96833922773305,9.125254988110614,Total
2013,ME,0,356,330,393,12832,27.743142144638405,25.716957605985037,30.626558603491272,Total
2013,ME,1,240,216,261,12832,18.703241895261847,16.83291770573566,20.339775561097255,Total
2013,MN,0,790,774,806,68955,11.456747153940976,11.224711768544704,11.688782539337248,Total
2013,MN,1,251,249,253,68955,3.6400551084040313,3.6110506852294977,3.6690595315785655,Total
2013,MS,0,508,503,513,37987,13.372996024955905,13.241372048332323,13.504620001579488,Total
2013,MS,1,41,41,41,37987,1.0793166083133705,1.0793166083133705,1.0793166083133705,Total
2013,NJ,0,804.6,774,832,103442,7.778271881827498,7.482453935538756,8.043154618046827,Total
2013,NJ,1,608.7,584,639,103442,5.884456990390751,5.645675837667485,6.177374760735485,Total
2013,NM,0,159.5,155,167,26631,5.989260636100784,5.8202846306935525,6.270887311779505,Total
2013,NM,1,380.7,374,389,26631,14.295370057451843,14.043783560512184,14.607036911869626,Total
2013,TX,0,5521.0999999999995,5472,5562,383188,14.408332202469804,14.280196665866365,14.515068321554955,Total
2013,TX,1,2876.5,2847,2902,383188,7.506759084313705,7.429773374949112,7.573306053425473,Total
2013,UT,0,320,315,325,51696,6.190034045187248,6.093314763231198,6.286753327143299,Total
2013,UT,1,141,139,144,51696,2.7274837511606314,2.688796038378211,2.785515320334262,Total
2014,AK,0,195.9,183,209,11390,17.19929762949956,16.066725197541704,18.349429323968394,Total
2014,AK,1,53.300000000000004,50,59,11390,4.679543459174715,4.389815627743635,5.179982440737489,Total
2014,AL,0,398.6,391,406,58321,6.834587884295537,6.7042746180621045,6.961471854049142,Total
2014,AL,1,354,343,366,58321,6.069854769294079,5.881243462903585,6.27561255808371,Total
2014,HI,0,61.900000000000006,58,70,18816,3.2897534013605445,3.082482993197279,3.720238095238095,Total
2014,HI,1,186.70000000000002,175,200,18816,9.922406462585034,9.300595238095237,10.629251700680271,Total
2014,IN,0,2532.7999999999997,2522,2545,82972,30.525960565009882,30.395796172202672,30.67299811984766,Total
2014,IN,1,871.6,867,875,82972,10.504748589885745,10.449308200356748,10.54572626910283,Total
2014,ME,0,419.3,390,449,12666,33.10437391441655,30.791094268119377,35.44923417021949,Total
2014,ME,1,262.9,246,278,12666,20.756355597663035,19.422074846044527,21.948523606505606,Total
2014,MN,0,750,734,767,69960,10.720411663807889,10.491709548313322,10.963407661520868,Total
2014,MN,1,321,319,325,69960,4.588336192109777,4.559748427672956,4.64551172098342,Total
2014,MS,0,586,582,591,38202,15.339511020365427,15.23480446049945,15.470394220197894,Total
2014,MS,1,60,59,62,38202,1.5705983979896339,1.54442175802314,1.6229516779226218,Total
2014,NJ,0,790.9,770,814,103271,7.658490767011068,7.456110621568495,7.882174085658123,Total
2014,NJ,1,644.1,631,662,103271,6.236988118639308,6.110137405467169,6.410318482439407,Total
2014,NM,0,143.2,136,151,26180,5.469824293353705,5.194805194805195,5.767761650114592,Total
2014,NM,1,394.1,386,406,26180,15.053475935828878,14.744079449961802,15.508021390374331,Total
2014,TX,0,5996.7,5950,6047,393586,15.236060225719411,15.117407631369002,15.363859486871993,Total
2014,TX,1,3045.1,3023,3072,393586,7.736809744249033,7.680659373046805,7.805155671187491,Total
2014,UT,0,419,414,424,50732,8.25908696680596,8.16052984309706,8.357644090514862,Total
2014,UT,1,166,164,169,50732,3.2720965071355357,3.2326736576519752,3.3312307813608766,Total
2015,AK,0,253.39999999999998,232,275,11278,22.46852278772832,20.571023231069336,24.383755985103743,Total
2015,AK,1,73.39999999999999,67,83,11278,6.508246142933143,5.940769640007094,7.3594608973222195,Total
2015,AL,0,359.59999999999997,355,365,59118,6.082749754727832,6.004939273994385,6.174092492980141,Total
2015,AL,1,298,296,301,59118,5.040765925775568,5.006935281978416,5.091511891471295,Total
2015,HI,0,68.5,65,74,18166,3.7707805791038207,3.578112958273698,4.073543983265441,Total
2015,HI,1,192.6,183,204,18166,10.602223934823297,10.073764174832105,11.229769899812837,Total
2015,IN,0,2934.1,2924,2948,83529,35.12672245567408,35.00580636665111,35.293131726705695,Total
2015,IN,1,974.3000000000001,970,980,83529,11.664212429216201,11.61273330220642,11.732452202229167,Total
2015,ME,0,401.4,378,424,12589,31.884978949876874,30.0262133608706,33.68019699737866,Total
2015,ME,1,308.3,287,335,12589,24.48963380729208,22.797680514735085,26.610533005004367,Total
2015,MN,0,949,938,961,69638,13.627617105603262,13.469657370975616,13.799936816106149,Total
2015,MN,1,341,340,343,69638,4.89675177345702,4.88239179758178,4.925471725207501,Total
2015,MS,0,507,504,511,38121,13.299756039977964,13.22105925867632,13.404685081713492,Total
2015,MS,1,178,173,183,38121,4.6693423572309225,4.538181055061515,4.800503659400331,Total
2015,NJ,0,806.2,788,827,103160,7.815044590926716,7.638619620007756,8.016673129119814,Total
2015,NJ,1,680.8,668,697,103160,6.599457153935634,6.475378053509113,6.756494765412951,Total
2015,NM,0,143.1,133,153,25891,5.527017110192731,5.136920165308408,5.909389363099146,Total
2015,NM,1,454.79999999999995,443,467,25891,17.565949557761382,17.110192731064846,18.037155768413733,Total
2015,TX,0,6697.6,6656,6747,401288,16.69025737126453,16.586591176411954,16.81336097765196,Total
2015,TX,1,3007,2978,3031,401288,7.493371344271446,7.421104044975181,7.553178764378701,Total
2015,UT,0,495,490,503,50854,9.733747591143272,9.635426908404451,9.891060683525385,Total
2015,UT,1,188,186,191,50854,3.6968576709796674,3.6575293978841388,3.75585008062296,Total
2016,AK,0,361.7,344,390,11223,32.228459413704,30.65134099616858,34.75006682705159,Total
2016,AK,1,88.4,81,97,11223,7.876681814131694,7.217321571772254,8.642965339035907,Total
2016,AL,0,571.8,564,580,58834,9.718870041132678,9.586293639732128,9.858245232348642,Total
2016,AL,1,350,348,354,58834,5.94894108848625,5.914947139409185,6.016928986640378,Total
2016,HI,0,99.5,97,102,18171,5.475758076055253,5.3381762148478344,5.613339937262671,Total
2016,HI,1,213.1,205,224,18171,11.727477849320344,11.281712619008308,12.32733476418469,Total
2016,IN,0,3101.6,3079,3132,83005,37.366423709415095,37.09415095476176,37.73266670682489,Total
2016,IN,1,1303.3,1293,1316,83005,15.701463767242938,15.577374856936329,15.854466598397687,Total
2016,ME,0,409.3,390,428,12578,32.54094450628081,31.006519319446653,34.02766735570043,Total
2016,ME,1,253,231,277,12578,20.11448560979488,18.36539990459533,22.022579106376213,Total
2016,MN,0,1218,1197,1242,69710,17.472385597475252,17.171137569932576,17.816669057524027,Total
2016,MN,1,379,375,384,69710,5.4368096399368815,5.379429063262085,5.508535360780376,Total
2016,MS,0,445,438,455,37662,11.815623174552599,11.629759439222559,12.081142796452658,Total
2016,MS,1,419,414,426,37662,11.125272157612448,10.99251234666242,11.311135892942488,Total
2016,NJ,0,796.5999999999999,774,818,103004,7.733680245427362,7.514271290435323,7.941439167410974,Total
2016,NJ,1,769.4000000000001,758,782,103004,7.469612830569687,7.358937516989631,7.591938177158169,Total
2016,NM,0,91.5,85,102,25109,3.644111673105261,3.3852403520649967,4.062288422477996,Total
