race_ethn,year,state,n_mn,n_min,n_max,pop,r_mn,r_min,r_max
AIAN,2019,AK,100.5,99,103,2304,43.619791666666664,42.96875,44.704861111111114
AIAN,2019,AL,1,1,1,555,1.8018018018018018,1.8018018018018018,1.8018018018018018
AIAN,2019,AZ,225.2,214,237,6059,37.16784948011223,35.319359630302024,39.115365571876545
AIAN,2019,CT,1.8,1,3,350,5.142857142857142,2.857142857142857,8.571428571428571
AIAN,2019,DC,0.3,0,1,79,3.7974683544303796,0,12.658227848101266
AIAN,2019,HI,5.8,5,8,97,59.793814432989684,51.546391752577314,82.47422680412372
AIAN,2019,IN,6.3,6,8,509,12.37721021611002,11.787819253438114,15.717092337917483
AIAN,2019,KS,0.1,0,1,667,0.14992503748125938,0,1.4992503748125936
AIAN,2019,KY,5.6,2,10,167,33.532934131736525,11.976047904191617,59.880239520958085
AIAN,2019,LA,1.2,1,2,608,1.973684210526316,1.644736842105263,3.289473684210526
AIAN,2019,MA,27.6,24,36,665,41.50375939849624,36.090225563909776,54.13533834586466
AIAN,2019,MD,0.4,0,1,725,0.5517241379310345,0,1.379310344827586
AIAN,2019,ME,6.2,3,12,148,41.891891891891895,20.27027027027027,81.08108108108108
AIAN,2019,MI,76.1,75,78,1291,58.94655305964368,58.09450038729667,60.41828040278854
AIAN,2019,MN,219,216,225,1427,153.468815697267,151.3665031534688,157.67344078486335
AIAN,2019,MS,0,0,0,304,0,0,0
AIAN,2019,NJ,1.6,1,3,1089,1.4692378328741966,0.9182736455463728,2.7548209366391188
AIAN,2019,NM,55.9,52,63,3060,18.26797385620915,16.99346405228758,20.58823529411765
AIAN,2019,NV,13.5,12,17,948,14.240506329113924,12.658227848101266,17.932489451476794
AIAN,2019,OH,33.1,32,34,617,53.646677471636956,51.86385737439222,55.10534846029174
AIAN,2019,OK,166.9,166,168,6390,26.118935837245697,25.97809076682316,26.291079812206572
AIAN,2019,OR,49.3,44,55,1376,35.82848837209302,31.976744186046513,39.97093023255814
AIAN,2019,TX,9.6,8,12,5282,1.8174933737220749,1.5145778114350623,2.271866717152594
AIAN,2019,UT,28.4,28,30,1049,27.073403241182078,26.692087702573883,28.598665395614873
AIAN,2019,WV,2,2,2,34,58.8235294117647,58.8235294117647,58.8235294117647
Asian/PI,2019,AK,8.6,7,10,779,11.0397946084724,8.985879332477536,12.836970474967908
Asian/PI,2019,AL,1,1,1,980,1.0204081632653061,1.0204081632653061,1.0204081632653061
Asian/PI,2019,AZ,39.1,36,46,3481,11.232404481470843,10.341855788566503,13.214593507612756
Asian/PI,2019,CT,2.1,1,3,1959,1.0719754977029097,0.5104645227156713,1.5313935681470139
Asian/PI,2019,DC,0.4,0,2,537,0.7448789571694601,0,3.7243947858473
Asian/PI,2019,HI,149.9,147,153,12568,11.92711648631445,11.696371737746658,12.173774665817952
Asian/PI,2019,IN,4,4,4,2244,1.7825311942959001,1.7825311942959001,1.7825311942959001
Asian/PI,2019,KS,1.1,1,2,1307,0.8416220351951034,0.7651109410864575,1.530221882172915
Asian/PI,2019,KY,4.6,4,6,997,4.613841524573721,4.012036108324975,6.018054162487462
Asian/PI,2019,LA,1.3,1,2,1021,1.2732615083251715,0.9794319294809011,1.9588638589618022
Asian/PI,2019,MA,16.1,12,20,5607,2.8714107365792763,2.140181915462814,3.5669698591046908
Asian/PI,2019,MD,0.7,0,1,4474,0.15645954403218595,0,0.22351363433169424
Asian/PI,2019,ME,0.4,0,2,185,2.1621621621621623,0,10.81081081081081
Asian/PI,2019,MI,16.8,16,19,4079,4.118656533464085,3.922530031870556,4.658004412846286
Asian/PI,2019,MN,29.7,29,31,4107,7.231555880204529,7.061115169223277,7.54808862916971
Asian/PI,2019,MS,0,0,0,375,0,0,0
Asian/PI,2019,NJ,8,7,9,9267,0.8632782993417503,0.7553685119240315,0.9711880867594691
Asian/PI,2019,NM,7.1,6,8,482,14.730290456431534,12.448132780082986,16.597510373443985
Asian/PI,2019,NV,36.9,35,39,3118,11.834509300833869,11.225144323284155,12.508017960230918
Asian/PI,2019,OH,15.9,14,19,3982,3.992968357609242,3.5158211953792065,4.771471622300351
Asian/PI,2019,OK,2.2,2,3,1343,1.6381236038719287,1.4892032762472078,2.2338049143708116
